辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊
A328130,风粗,20220721,30800,40000,29700,40000,3586045
A328130,风粗,20220722,39350,48950,38450,40400,4013435
A328130,风粗,20220725,39700,42500,36650,37400,868277
A328130,风粗,20220726,37300,40250,35800,36750,933368
A328130,风粗,20220727,38150,43200,37550,39100,2199376
A328130,风粗,20220728,38700,40300,36900,39950,446474
A328130,风粗,20220729,39550,43500,38100,38100,1075593
A328130,风粗,20220801,39900,42250,38700,38950,852918
A328130,风粗,20220802,40900,48600,40000,45350,3806642
A328130,风粗,20220803,45350,46000,42750,43500,649161
A328130,风粗,20220804,43600,43650,41350,41850,428396
A328130,风粗,20220805,41200,42300,40500,41600,282606
A328130,风粗,20220808,41500,43000,41200,42100,209083
A328130,风粗,20220809,43200,44700,41400,41850,527727
A328130,风粗,20220810,42350,43000,40050,41700,339951
A328130,风粗,20220811,42250,42300,40800,40900,191304
A328130,风粗,20220812,40250,41600,39650,39750,168774
A328130,风粗,20220816,39650,40000,38250,39000,132799
A328130,风粗,20220817,38850,41400,38450,39750,211497
A328130,风粗,20220818,39050,39400,38450,39300,88002
A328130,风粗,20220819,39150,41800,38600,40800,282272
A328130,风粗,20220822,40100,40400,37400,37400,293442
A328130,风粗,20220823,36650,38100,35600,37450,105088
A328130,风粗,20220824,37450,39900,37400,39050,109192
A328130,风粗,20220825,39300,41550,38950,40000,224342
A328130,风粗,20220826,40300,40400,38500,39000,89299
A328130,风粗,20220829,37250,38100,35000,35600,114572
A328130,风粗,20220830,36250,37250,35350,36750,66591
A328130,风粗,20220831,36800,38550,36000,37800,87174
A328130,风粗,20220901,37300,39150,37250,37500,61229
A328130,风粗,20220902,38100,38500,36100,36250,55299
A328130,风粗,20220905,36250,36750,32750,33300,170864
A328130,风粗,20220906,33900,34100,33000,33450,29720
A328130,风粗,20220907,33500,33750,30750,31000,87027
A328130,风粗,20220908,31250,32900,31250,32850,46856
A328130,风粗,20220913,33700,34600,32500,32550,76582
A328130,风粗,20220914,31350,32100,30750,31250,75081
A328130,风粗,20220915,32600,33700,31050,31700,92528
A328130,风粗,20220916,31400,31400,29450,30050,127770
A328130,风粗,20220919,30050,30300,28800,29300,36973
A328130,风粗,20220920,29350,30250,29150,29150,35216
A328130,风粗,20220921,28950,29350,28050,28550,31645
A328130,风粗,20220922,28100,28700,27300,28450,41404
A328130,风粗,20220923,28150,28700,26900,27100,39941
A328130,风粗,20220926,26650,26700,24650,25250,69204
A328130,风粗,20220927,25250,25500,24500,25300,35844
A328130,风粗,20220928,25350,25750,23300,23800,45125
A328130,风粗,20220929,24100,25300,24100,24450,36349
A328130,风粗,20220930,24150,25000,23150,23900,46026
A328130,风粗,20221004,24300,25200,23950,24800,34357
A328130,风粗,20221005,25000,25200,22350,22700,136453
A328130,风粗,20221006,23350,24700,22950,23950,42048
A328130,风粗,20221007,23550,23900,22250,22400,69431
A328130,风粗,20221011,21600,21600,19450,19850,99450
A328130,风粗,20221012,20000,21550,19100,20750,139660
A328130,风粗,20221013,20500,20550,18900,19450,87157
A328130,风粗,20221014,20400,20900,19750,20200,64788
A328130,风粗,20221017,19600,20850,19600,20500,38751
A328130,风粗,20221018,20900,21150,20450,20850,29897
A328130,风粗,20221019,20850,21850,20250,20700,56351
A328130,风粗,20221020,20900,20900,19900,20300,38505
A328130,风粗,20221021,20050,20550,19800,20000,24811
A328130,风粗,20221024,20800,22300,20350,21800,76544
A328130,风粗,20221025,21800,22450,21450,22000,55647
A328130,风粗,20221026,22100,24250,20400,20950,252941
A328130,风粗,20221027,20800,21400,20600,21300,26935
A328130,风粗,20221028,21800,26900,21700,24000,788651
A328130,风粗,20221031,24050,24750,23750,24300,116777
A328130,风粗,20221101,24200,24950,23400,24700,101494
A328130,风粗,20221102,24500,25450,24150,25400,84993
A328130,风粗,20221103,24450,24950,22800,23450,108998
A328130,风粗,20221104,23450,23600,22600,23600,43770
A328130,风粗,20221107,23450,24400,23250,23650,43006
A328130,风粗,20221108,23600,24800,23350,24300,47512
A328130,风粗,20221109,24700,24750,23900,23950,43142
A328130,风粗,20221110,23950,23950,23200,23300,24734
A328130,风粗,20221111,24000,24750,23650,24600,34998
A328130,风粗,20221114,25050,27250,24350,26500,165953
A328130,风粗,20221115,26550,27100,25900,26500,80194
A328130,风粗,20221116,26600,27050,25450,26650,67960
A328130,风粗,20221117,26650,30500,26150,27100,289973
A328130,风粗,20221118,27250,27700,26350,26650,57575
A328130,风粗,20221121,26400,27400,25900,26300,39764
A328130,风粗,20221122,26000,27150,25800,26250,25264
A328130,风粗,20221123,26650,27750,26300,27700,43638
A328130,风粗,20221124,27700,30700,27700,29500,162028
A328130,风粗,20221125,29500,30450,29200,29450,59173
A328130,风粗,20221128,29600,30600,29050,29050,49021
A328130,风粗,20221129,28800,28850,27900,28600,31831
A328130,风粗,20221130,28600,29250,28200,29050,19869
A328130,风粗,20221201,29200,29800,28850,28850,24813
A328130,风粗,20221202,28850,29800,28500,29300,26613
A328130,风粗,20221205,29300,29600,28100,28100,29214
A328130,风粗,20221206,27750,28550,27400,28100,13996
A328130,风粗,20221207,27550,28000,26600,27200,31313
A328130,风粗,20221208,26900,27250,25650,26150,45838
A328130,风粗,20221209,26150,26300,25650,26200,11613
A328130,风粗,20221212,26600,26600,25900,26250,9166
A328130,风粗,20221213,26500,26550,24850,25000,49394
A328130,风粗,20221214,25000,28450,25000,27900,120777
A328130,风粗,20221215,29000,31350,28350,28700,250681
A328130,风粗,20221216,28100,28700,27600,27650,54795
A328130,风粗,20221219,27650,29600,27650,29100,84379
A328130,风粗,20221220,29250,29500,27700,27800,86855
A328130,风粗,20221221,28000,28750,27600,28150,40481
A328130,风粗,20221222,28300,29800,28100,28200,119300
A328130,风粗,20221223,27650,27850,26150,26950,93126
A328130,风粗,20221226,26700,27400,26400,26950,25383
A328130,风粗,20221227,26950,28500,26950,28000,29977
A328130,风粗,20221228,28500,29900,28000,29350,56791
A328130,风粗,20221229,29100,30950,29000,29800,73636
A328130,风粗,20230102,29800,30650,28400,28850,45829
A328130,风粗,20230103,29650,32600,29550,32600,232317
A328130,风粗,20230104,32000,34200,32000,32650,150532
A328130,风粗,20230105,32650,33200,31100,31450,95461
A328130,风粗,20230106,31400,33700,30450,32600,117472
A328130,风粗,20230109,32850,33700,30900,31350,126227
A328130,风粗,20230110,31350,32050,30550,31150,71880
A328130,风粗,20230111,31150,32900,31150,32500,47496
A328130,风粗,20230112,32600,33800,32200,32400,78245
A328130,风粗,20230113,32800,32850,31700,32300,42894
A328130,风粗,20230116,32600,36800,32600,34650,274418
A328130,风粗,20230117,34650,35250,34150,34200,85464
A328130,风粗,20230118,34450,39700,33350,36350,509090
A328130,风粗,20230119,36550,37550,35200,36500,183834
A328130,风粗,20230120,36250,38800,35800,37000,245880
A328130,风粗,20230125,38050,40650,37350,39650,257742
A328130,风粗,20230126,39850,43450,37550,39150,454749
A328130,风粗,20230127,38800,40400,38150,40100,120713
A328130,风粗,20230130,40300,41150,39350,40100,150382
A328130,风粗,20230131,39600,42000,39450,39650,196502
A328130,风粗,20230201,41200,45500,39650,40800,683514
A328130,风粗,20230202,40850,41650,39450,39800,242325
A328130,风粗,20230203,39650,39750,37650,38000,185581
A328130,风粗,20230206,38100,40450,37550,38650,155075
A328130,风粗,20230207,38900,40950,38350,39600,140114
A328130,风粗,20230208,39600,41450,39600,40550,169514
A328130,风粗,20230209,41150,43700,39650,42850,242538
A328130,风粗,20230210,42550,42650,39250,40500,281444
A328130,风粗,20230213,40500,42000,40100,40900,155989
A328130,风粗,20230214,41550,42550,40950,41300,188816
A328130,风粗,20230215,41900,42300,39850,40100,175142
A328130,风粗,20230216,40450,40850,39650,40400,107928
A328130,风粗,20230217,39600,39700,38400,38550,146363
A328130,风粗,20230220,38500,39200,36500,38750,103547
A328130,风粗,20230221,38900,39250,38050,38200,77853
A328130,风粗,20230222,37850,37850,36450,37050,115225
A328130,风粗,20230223,37900,42700,37900,42050,570026
A328130,风粗,20230224,41950,48500,41300,44950,1833189
A328130,风粗,20230227,45200,46450,43300,46050,449234
A328130,风粗,20230228,46500,50300,44500,47000,724185
A328130,风粗,20230302,47100,48500,43600,43650,418841
A328130,风粗,20230303,44250,46500,43900,44050,216658
A328130,风粗,20230306,44950,45100,43400,45100,123867
A328130,风粗,20230307,46000,49150,43500,47400,500383
A328130,风粗,20230308,46650,46650,44050,44500,304149
A328130,风粗,20230309,45000,45450,42750,43800,172377
A328130,风粗,20230310,42500,43200,39900,41800,229032
A328130,风粗,20230313,40700,41450,39900,40950,139691
A328130,风粗,20230314,41050,41050,38200,38550,194112
A328130,风粗,20230315,39950,41450,39300,40150,119467
A328130,风粗,20230316,39450,42750,39100,41200,141807
A328130,风粗,20230317,41750,42700,41050,42100,139065
A328130,风粗,20230320,41850,45100,40650,44300,198176
A328130,风粗,20230321,44550,44600,42550,42750,175063
A328130,风粗,20230322,42750,43650,41600,42050,120595
A328130,风粗,20230323,41500,42250,39950,41250,155060
A328130,风粗,20230324,41850,42950,40900,42000,75961
A328130,风粗,20230327,42150,42200,40400,40400,92201
A328130,风粗,20230328,40700,41100,39800,39900,98506
A328130,风粗,20230329,40100,41000,39100,40350,97615
A328130,风粗,20230330,40800,40850,39700,39900,66230
A328130,风粗,20230331,39900,40100,37000,37400,218497
A328130,风粗,20230403,37800,37800,36600,37150,87902
A328130,风粗,20230404,37600,43200,37600,43200,243613
A328130,风粗,20230405,45400,51200,43800,49450,1611879
A328130,风粗,20230406,52300,55500,50500,52700,932675
A328130,风粗,20230407,51900,54700,50100,52600,544163
A328130,风粗,20230410,52000,57100,50700,54600,652356
A328130,风粗,20230411,55000,58200,53200,57200,503740
A328130,风粗,20230412,59200,67600,58200,62900,1014612
A328130,风粗,20230413,62200,62500,56100,58500,582612
A328130,风粗,20230414,59500,64600,58700,62400,483511
A328130,风粗,20230417,62500,63800,59400,61400,270770
A328130,风粗,20230418,60800,61200,57600,59700,226855
A328130,风粗,20230419,58800,59600,56700,57500,206196
A328130,风粗,20230420,56200,56500,52800,53300,261729
A328130,风粗,20230421,53300,56200,52500,53400,199186
A328130,风粗,20230424,54600,56500,53500,54500,137276
A328130,风粗,20230425,54200,55000,51100,52300,131185
A328130,风粗,20230426,52100,53000,50000,50200,118536
A328130,风粗,20230427,51000,51000,48850,50400,81981
A328130,风粗,20230428,51700,54000,49750,52800,133093
A328130,风粗,20230502,53700,60000,53700,60000,240727
A328130,风粗,20230503,59600,61200,58200,60000,156097
A328130,风粗,20230504,60400,61700,56600,57200,202065
A328130,风粗,20230508,58000,60800,57300,59800,127027
A328130,风粗,20230509,60000,60500,56700,57800,130873
A328130,风粗,20230510,59000,63500,58300,61700,265860
A328130,风粗,20230511,65000,73300,63500,68700,1311102
A328130,风粗,20230512,66400,71000,64200,69800,360408
A328130,风粗,20230515,70200,72800,67400,68700,272966
A328130,风粗,20230516,68600,75000,68000,72900,414212
A328130,风粗,20230517,72200,75000,71100,72800,214482
A328130,风粗,20230518,72800,74100,67600,68300,268828
A328130,风粗,20230519,68100,71000,66200,68800,194054
A328130,风粗,20230522,67800,69100,65200,68700,148318
A328130,风粗,20230523,72600,75900,70100,71700,512437
A328130,风粗,20230524,71700,81200,71400,79600,467069
A328130,风粗,20230525,81000,82900,79700,80400,335597
A328130,风粗,20230526,80900,84000,78600,80000,268461
A328130,风粗,20230530,80500,83300,79100,82500,173817
A328130,风粗,20230531,81100,83800,79500,83800,206879
A328130,风粗,20230601,84900,98500,83100,92000,844794
A328130,风粗,20230602,91400,100500,91000,97200,443417
A328130,风粗,20230605,98900,100700,92800,98400,258762
A328130,风粗,20230607,100000,118300,99600,113200,632136
A328130,风粗,20230608,113800,117200,104200,105500,517103
A328130,风粗,20230609,108500,113500,104900,109600,326717
A328130,风粗,20230612,113200,115000,102100,103100,474980
A328130,风粗,20230613,103200,105900,99500,101000,300502
A328130,风粗,20230614,101000,101800,97000,98500,313058
A328130,风粗,20230615,98700,106300,98100,101300,281747
A328130,风粗,20230616,103000,105600,98000,99600,309422
A328130,风粗,20230619,102100,104500,98700,100600,249780
A328130,风粗,20230620,103000,130700,101700,130700,1488437
A328130,风粗,20230621,134800,139800,126800,136000,1120791
A328130,风粗,20230622,132300,144200,127400,139800,651570
A328130,风粗,20230623,143700,158200,136200,142200,1029674
A328130,风粗,20230626,145200,180900,143600,172400,1462606
A328130,风粗,20230627,178100,187200,170500,178700,871254
A328130,风粗,20230628,187200,200000,168500,168600,1194356
A328130,风粗,20230629,172000,178000,160200,168500,636704
A328130,风粗,20230630,165000,165100,141800,146300,1069695
A328130,风粗,20230703,143900,153400,143600,148800,517063
A328130,风粗,20230704,148500,169400,145100,168000,827000
A328130,风粗,20230705,176000,196700,168000,189000,1159661
A328130,风粗,20230706,187700,194800,172500,175200,725873
A328130,风粗,20230707,171000,184400,168000,183100,351196
A328130,风粗,20230710,181800,183100,175000,175000,288934
A328130,风粗,20230711,174100,180400,169900,177900,222001
A328130,风粗,20230712,177900,184000,170100,183100,267191
A328130,风粗,20230713,186600,201500,186500,194900,586169
A328130,风粗,20230714,198100,199400,181000,181000,556537
A328130,风粗,20230717,177000,185200,171100,176900,286505
A328130,风粗,20230718,177200,181500,175600,176800,238596
A328130,风粗,20230719,179500,190100,176600,178500,512841
A328130,风粗,20230721,183500,183500,172600,173900,354879
A328130,风粗,20230720,178500,186400,175000,184000,249327
