辆格内靛,辆格疙,朝楼,SMA5,SMA20,UPPER,MAVG,LOWER,RSI,MACD,AROONUP,AROONDN
A328130,风粗,20220907,34300.0,36065.0,43211.23257084086,37787.5,32363.76742915914,32.43258247457585,-1861.6663566901261,100.0,7.142857142857143
A328130,风粗,20220908,33370.0,35350.0,42862.961580148956,37345.0,31827.03841985104,38.56844834835712,-1959.7540372186486,92.85714285714286,0.0
A328130,风粗,20220913,32630.0,34705.0,42568.55264999362,36927.5,31286.447350006383,37.966344324982806,-2038.2016041601528,85.71428571428572,21.42857142857143
A328130,风粗,20220914,32220.0,34270.0,42498.53827539484,36502.5,30506.461724605153,35.388214438323956,-2180.1397081267496,100.0,14.285714285714286
A328130,风粗,20220915,31870.0,33765.0,42365.25039641121,36137.5,29909.74960358879,36.98341294507646,-2230.6024424809,92.85714285714286,7.142857142857143
A328130,风粗,20220916,31680.0,32990.0,42182.85029688301,35652.5,29122.149703116993,33.69818426249759,-2376.3427335847955,100.0,0.0
A328130,风粗,20220919,30970.0,32170.0,42012.19933743455,35152.5,28292.800662565453,32.293943105863846,-2523.274953297707,100.0,0.0
A328130,风粗,20220920,30290.0,31460.0,41390.95301259289,34570.0,27749.046987407113,32.00667301685205,-2621.6033310978783,92.85714285714286,21.42857142857143
A328130,风粗,20220921,29750.0,30985.0,41296.07552098044,34127.5,26958.92447901956,30.825472180949358,-2716.628660359005,100.0,14.285714285714286
A328130,风粗,20220922,29100.0,30485.0,41081.38242748357,33677.5,26273.61757251643,30.622629600448754,-2768.097181456935,100.0,7.142857142857143
A328130,风粗,20220923,28510.0,30095.0,40581.29322183848,33080.0,25578.706778161515,27.94881528377356,-2884.5685620156364,100.0,0.0
A328130,风粗,20220926,27700.0,29335.0,39877.63603062347,32342.5,24807.363969376533,24.75848613163909,-3090.526839524413,100.0,0.0
A328130,风粗,20220927,26930.0,28610.0,39137.89270359518,31657.5,24177.10729640482,25.007642535841512,-3212.6818792874183,100.0,0.0
A328130,风粗,20220928,25980.0,27865.0,39055.19522453129,31067.5,23079.804775468707,22.590781286201334,-3391.4337551212557,100.0,21.42857142857143
A328130,风粗,20220929,25180.0,27140.0,38489.31995567899,30452.5,22415.680044321012,25.931348280935946,-3440.980851513905,92.85714285714286,14.285714285714286
A328130,风粗,20220930,24540.0,26525.0,37532.348873129304,29757.5,21982.651126870696,24.950198039410367,-3484.460988556424,100.0,7.142857142857143
A328130,风粗,20221004,24450.0,26075.0,36317.04480839476,29122.5,21927.95519160524,29.64148080518093,-3407.022794062028,92.85714285714286,0.0
A328130,风粗,20221005,23930.0,25430.0,35374.27846171591,28445.0,21515.72153828409,25.617625132770645,-3475.0467408933473,100.0,7.142857142857143
A328130,风粗,20221006,23960.0,24970.0,34794.205582611,27977.5,21160.794417389,31.572196443573556,-3389.0250839561377,92.85714285714286,0.0
A328130,风粗,20221007,23550.0,24365.0,34168.7749072756,27425.0,20681.225092724402,28.523021399567117,-3406.654554059962,100.0,0.0
A328130,风粗,20221011,22740.0,23640.0,34158.26642061725,26867.5,19576.733579382755,24.35558245440853,-3585.063346260278,100.0,0.0
A328130,风粗,20221012,21930.0,23190.0,33474.841852685575,26262.5,19050.158147314425,28.335419528701166,-3612.1920199641136,100.0,0.0
A328130,风粗,20221013,21280.0,22605.0,32796.19077092623,25607.5,18418.809229073766,26.19183842765185,-3695.985801128496,100.0,0.0
A328130,风粗,20221014,20530.0,22245.0,32121.604559475505,25055.0,17988.395440524495,29.50520814976266,-3659.6876433384423,92.85714285714286,7.142857142857143
A328130,风粗,20221017,20150.0,21850.0,31128.317420416424,24495.0,17861.682579583576,30.842570306809534,-3565.6114497042,85.71428571428572,0.0
A328130,风粗,20221018,20350.0,21545.0,30331.038436985593,24035.0,17738.961563014407,32.452593561277546,-3423.351053555387,78.57142857142857,0.0
A328130,风粗,20221019,20340.0,21135.0,29569.972757691354,23605.0,17640.027242308646,32.10760152699605,-3284.84674257207,71.42857142857143,7.142857142857143
A328130,风粗,20221020,20510.0,20895.0,28715.23581219204,23162.5,17609.76418780796,31.15642591905955,-3170.8066500059685,64.28571428571429,0.0
A328130,风粗,20221021,20470.0,20500.0,27863.069812317302,22735.0,17606.930187682698,30.42834914392392,-3069.256074348701,57.142857142857146,0.0
A328130,风粗,20221024,20730.0,20440.0,26818.09452395711,22402.5,17986.90547604289,39.555263367492124,-2811.126636732908,50.0,14.285714285714286
A328130,风粗,20221025,20960.0,20655.0,26001.909812150232,22147.5,18293.090187849768,40.48943761008631,-2560.898426216456,42.85714285714286,7.142857142857143
A328130,风粗,20221026,21010.0,20675.0,25542.66273871414,21932.5,18322.33726128586,37.235766273862794,-2419.4273390458293,35.714285714285715,0.0
A328130,风粗,20221027,21210.0,20860.0,25001.333889936897,21732.5,18463.666110063103,38.99554048575292,-2253.096118737838,28.571428571428573,0.0
A328130,风粗,20221028,22010.0,21240.0,25037.689675876034,21742.5,18447.310324123966,50.52073709204905,-1881.7187111604908,21.42857142857143,100.0
A328130,风粗,20221031,22510.0,21620.0,25006.100732169525,21735.0,18463.899267830475,51.614551658138495,-1545.3777939855245,14.285714285714286,92.85714285714286
A328130,风粗,20221101,23050.0,22005.0,25168.302226445503,21775.0,18381.697773554497,53.1031833647395,-1232.3428555266692,7.142857142857143,85.71428571428572
A328130,风粗,20221102,23940.0,22475.0,25313.40419564223,21805.0,18296.59580435777,55.67334360333346,-917.2033127964933,0.0,78.57142857142857
A328130,风粗,20221103,24370.0,22790.0,25403.998982170287,21842.5,18281.001017829713,47.81233851683277,-815.4022088022357,7.142857142857143,71.42857142857143
A328130,风粗,20221104,24290.0,23150.0,25348.137805990562,21825.0,18301.862194009438,48.415716564811724,-714.3853642619797,0.0,64.28571428571429
A328130,风粗,20221107,24160.0,23335.0,25492.617889889316,21887.5,18282.382110110684,48.62892469144592,-623.1113651006744,21.42857142857143,57.142857142857146
A328130,风粗,20221108,24080.0,23565.0,25733.892934400796,22110.0,18486.107065599204,51.43890244558856,-492.64756102727915,14.285714285714286,50.0
A328130,风粗,20221109,23790.0,23865.0,25922.04052551447,22270.0,18617.95947448553,49.85745874789937,-412.7383406161898,7.142857142857143,42.85714285714286
A328130,风粗,20221110,23760.0,24065.0,25899.195360371647,22462.5,19025.804639628353,46.9693935709404,-397.2796825662881,0.0,35.714285714285715
A328130,风粗,20221111,23960.0,24125.0,26074.737462206915,22682.5,19290.262537793085,52.85181950824281,-276.93709084552756,0.0,28.571428571428573
A328130,风粗,20221114,24530.0,24345.0,26603.173279930128,22982.5,19361.826720069872,59.85995735980949,-27.928654701394407,7.142857142857143,100.0
A328130,风粗,20221115,24970.0,24525.0,27053.812478864584,23265.0,19476.187521135416,59.85995735980949,167.48170016596487,0.0,92.85714285714286
A328130,风粗,20221116,25510.0,24650.0,27432.496770024492,23562.5,19692.503229975508,60.39891154191076,330.6381696470489,0.0,85.71428571428572
A328130,风粗,20221117,26270.0,25015.0,27761.058668725927,23902.5,20043.941331274073,62.04534797916874,490.5967919510658,0.0,100.0
A328130,风粗,20221118,26680.0,25320.0,27828.062760375888,24235.0,20641.937239624112,59.38640182935499,574.4322163550532,28.571428571428573,92.85714285714286
A328130,风粗,20221121,26640.0,25585.0,27977.75496588378,24460.0,20942.24503411622,57.32856195063969,605.6487771689463,21.42857142857143,85.71428571428572
A328130,风粗,20221122,26590.0,25780.0,28081.968433641818,24672.5,21263.031566358182,57.02456224019227,619.2156122548295,14.285714285714286,78.57142857142857
A328130,风粗,20221123,26800.0,26155.0,28208.53091277855,25010.0,21811.46908722145,63.13049611946057,738.4578264986994,7.142857142857143,71.42857142857143
A328130,风粗,20221124,27280.0,26775.0,28712.020656071283,25420.0,22127.979343928717,69.01571310058972,967.0554835102921,0.0,100.0
A328130,风粗,20221125,27840.0,27260.0,29351.08920897113,25692.5,22033.91079102887,68.68772619293524,1131.1470326389172,21.42857142857143,92.85714285714286
A328130,风粗,20221128,28390.0,27515.0,29806.390073251143,25930.0,22053.609926748857,65.98603783930247,1214.9093912708704,14.285714285714286,85.71428571428572
A328130,风粗,20221129,28860.0,27725.0,30124.687487792016,26125.0,22125.312512207984,62.98461095894172,1230.7926136603419,7.142857142857143,78.57142857142857
A328130,风粗,20221130,29130.0,27965.0,30487.24580566809,26307.5,22127.75419433191,64.71312760506481,1265.1080430120855,0.0,71.42857142857143
A328130,风粗,20221201,29000.0,28140.0,30680.971091649117,26577.5,22474.028908350883,63.29835756445301,1261.6217492789838,0.0,64.28571428571429
A328130,风粗,20221202,28970.0,28405.0,30890.263026792913,26862.5,22834.736973207087,65.14476960650981,1280.410302630211,0.0,57.142857142857146
A328130,风粗,20221205,28780.0,28585.0,30862.181488888244,27085.0,23307.818511111756,56.921031003343046,1184.8126130605997,7.142857142857143,50.0
A328130,风粗,20221206,28680.0,28770.0,30849.562910343026,27275.0,23700.437089656974,56.921031003343046,1096.412000286,0.0,42.85714285714286
A328130,风粗,20221207,28310.0,28720.0,30671.982184214346,27437.5,24203.017815785654,51.28923872319263,942.8626654878244,21.42857142857143,35.714285714285715
A328130,风粗,20221208,27770.0,28385.0,30279.703687444235,27580.0,24880.296312555765,45.618422112317134,728.0549226631811,100.0,28.571428571428573
A328130,风粗,20221209,27150.0,28060.0,30082.31294427454,27660.0,25237.68705572546,45.92502838713817,555.4499398499938,100.0,21.42857142857143
A328130,风粗,20221212,26780.0,27780.0,30096.06590681158,27647.5,25198.93409318842,46.2513766181831,417.8768058527676,92.85714285714286,14.285714285714286
A328130,风粗,20221213,26160.0,27420.0,30239.2348949605,27572.5,24905.7651050395,39.7866901523676,205.61435835234442,100.0,7.142857142857143
A328130,风粗,20221214,26300.0,27305.0,30270.73519155472,27635.0,24999.26480844528,55.37166633237387,268.30771876252766,92.85714285714286,0.0
A328130,风粗,20221215,26810.0,27290.0,30377.91193996347,27715.0,25052.08806003653,58.55827095441566,378.1864744256309,85.71428571428572,100.0
A328130,风粗,20221216,27100.0,27125.0,30383.224589297104,27765.0,25146.775410702896,53.19003291909531,376.20331747307137,78.57142857142857,92.85714285714286
A328130,风粗,20221219,27670.0,27225.0,30494.18906223551,27905.0,25315.81093776449,58.806185695708024,486.03186040228684,71.42857142857143,85.71428571428572
A328130,风粗,20221220,28230.0,27195.0,30459.24685828003,27982.5,25505.75314171997,52.70124453830833,462.8373357980854,64.28571428571429,78.57142857142857
A328130,风粗,20221221,28280.0,27290.0,30479.247360309797,28005.0,25530.752639690203,54.083340295420825,467.3107158284329,57.142857142857146,71.42857142857143
A328130,风粗,20221222,28180.0,27495.0,30320.252087489895,27940.0,25559.747912510105,54.288833454218334,469.4786264980394,50.0,64.28571428571429
A328130,风粗,20221223,28040.0,27570.0,30126.514654939485,27815.0,25503.485345060515,48.450966202290154,366.11184851555663,42.85714285714286,57.142857142857146
A328130,风粗,20221226,27610.0,27640.0,29977.95061674632,27710.0,25442.04938325368,48.450966202290154,280.9542663524662,35.714285714285715,50.0
A328130,风粗,20221227,27650.0,27940.0,29915.710177997138,27680.0,25444.289822002862,53.33912429573638,294.79428868791,28.571428571428573,42.85714285714286
A328130,风粗,20221228,27890.0,28085.0,29970.939366503422,27695.0,25419.060633496578,58.75452036063955,409.9704396494344,21.42857142857143,35.714285714285715
A328130,风粗,20221229,28210.0,28195.0,30148.799025474596,27742.5,25336.200974525404,60.404164541659796,531.4335728569022,14.285714285714286,28.571428571428573
A328130,风粗,20230102,28590.0,28315.0,30075.504192312124,27720.0,25364.495807687876,55.36939629718896,544.7572974740724,7.142857142857143,21.42857142857143
A328130,风粗,20230103,29720.0,28665.0,31119.88582471874,27945.0,24770.11417528126,67.04593140768458,848.1333518325482,0.0,100.0
A328130,风粗,20230104,30650.0,29150.0,31953.435730741796,28172.5,24391.564269258204,67.1692660956057,1080.1444103546273,0.0,100.0
A328130,风粗,20230105,31070.0,29480.0,32394.251800523383,28385.0,24375.748199476617,61.24489794772463,1153.8836224690276,42.85714285714286,92.85714285714286
A328130,风粗,20230106,31630.0,29920.0,32975.08421123708,28707.5,24439.91578876292,64.4783460304511,1290.2447302798064,35.714285714285715,85.71428571428572
A328130,风粗,20230109,32130.0,30360.0,33217.77556426388,28965.0,24712.224435736116,58.74143138589567,1282.661612692471,28.571428571428573,78.57142857142857
A328130,风粗,20230110,31840.0,30780.0,33372.52327320821,29210.0,25047.47672679179,57.85446724010871,1246.1487813896565,21.42857142857143,71.42857142857143
A328130,风粗,20230111,31810.0,31230.0,33507.25700330817,29585.0,25662.742996691828,62.022891294407266,1311.0330442562336,14.285714285714286,64.28571428571429
A328130,风粗,20230112,32000.0,31535.0,33834.748439343755,29810.0,25785.251560656245,61.53736788237214,1338.9505374507717,7.142857142857143,57.142857142857146
A328130,风粗,20230113,31940.0,31785.0,34120.6900149975,29990.0,25859.309985002506,61.022926515198314,1337.5873137433518,0.0,50.0
A328130,风粗,20230116,32600.0,32365.0,34792.03324336196,30340.0,25887.96675663804,67.82922558795269,1508.7404881749353,0.0,100.0
A328130,风粗,20230117,33210.0,32525.0,35310.1776212567,30595.0,25879.822378743298,65.47155151264697,1589.7437959127856,0.0,92.85714285714286
A328130,风粗,20230118,33980.0,32895.0,36176.47662004786,31022.5,25868.523379952137,70.70994099174376,1806.6011590018425,0.0,100.0
A328130,风粗,20230119,34800.0,33400.0,36936.962797763874,31440.0,25943.03720223613,71.04004897476098,1967.881416020311,7.142857142857143,92.85714285714286
A328130,风粗,20230120,35740.0,33840.0,37670.11226143328,31880.0,26089.887738566722,72.16613788246099,2111.700632590102,0.0,85.71428571428572
A328130,风粗,20230125,36740.0,34670.0,38770.08593066474,32515.0,26259.91406933526,77.22157871018378,2411.710552893044,0.0,100.0
A328130,风粗,20230126,37730.0,35470.0,39469.170552562406,33125.0,26780.829447437594,74.47309128107412,2579.3911394222087,14.285714285714286,100.0
A328130,风粗,20230127,38480.0,36230.0,40307.339887826995,33730.0,27152.660112173005,76.20594470846875,2757.1535232906754,7.142857142857143,92.85714285714286
A328130,风粗,20230130,39200.0,37000.0,41078.100193815524,34267.5,27456.89980618448,76.20594470846875,2865.0054932925705,0.0,85.71428571428572
A328130,风粗,20230131,39730.0,37735.0,41631.433620431766,34760.0,27888.566379568234,73.46620389551548,2880.9578288405755,7.142857142857143,78.57142857142857
A328130,风粗,20230201,39960.0,38350.0,42147.14468878895,35357.5,28567.85531121105,75.8551940368425,2952.3625609213195,0.0,100.0
A328130,风粗,20230202,40090.0,38910.0,42646.22823828443,35717.5,28788.771761715572,69.95682546756184,2894.8892021706633,0.0,92.85714285714286
A328130,风粗,20230203,39670.0,39075.0,42831.977435335975,35985.0,29138.022564664025,60.79335686214632,2673.2802834666363,7.142857142857143,85.71428571428572
A328130,风粗,20230206,39380.0,39290.0,42953.32051280807,36345.0,29736.679487191923,62.69372285368817,2521.0421815365044,0.0,78.57142857142857
A328130,风粗,20230207,39370.0,39550.0,43213.73453977074,36695.0,30176.265460229264,65.33810844018446,2448.820965704792,0.0,71.42857142857143
A328130,风粗,20230208,39320.0,39640.0,43392.459418705665,37155.0,30917.540581294335,67.79639256392429,2440.114076198981,7.142857142857143,64.28571428571429
A328130,风粗,20230209,39930.0,40010.0,43807.25638159457,37740.0,31672.74361840543,72.82197718557819,2588.9606547776275,0.0,57.142857142857146
A328130,风粗,20230210,40430.0,40050.0,43814.82158309845,38140.0,32465.178416901552,62.14993665100671,2488.610131957168,0.0,50.0
